sample_id,mission,condition,plant_number,harvest_day,crop
Sample_L_1,VEG-01A,Flight,1,33,lettuce
Sample_L_2,VEG-01A,Flight,2,33,lettuce
Sample_L_3,VEG-01A,Flight,3,33,lettuce
Sample_L_4,VEG-01A,Flight,4,33,lettuce
Sample_L_5,VEG-01A,Flight,5,33,lettuce
Sample_L_6,VEG-01A,Flight,6,33,lettuce
Sample_L_7,VEG-01A,Ground,1,33,lettuce
Sample_L_8,VEG-01A,Ground,2,33,lettuce
Sample_L_9,VEG-01A,Ground,3,33,lettuce
Sample_L_10,VEG-01A,Ground,4,33,lettuce
Sample_L_11,VEG-01A,Ground,5,33,lettuce
Sample_L_12,VEG-01A,Ground,6,33,lettuce
Sample_L_13,VEG-01B,Flight,1,33,lettuce
Sample_L_14,VEG-01B,Flight,2,33,lettuce
Sample_L_15,VEG-01B,Flight,3,33,lettuce
Sample_L_16,VEG-01B,Flight,4,33,lettuce
Sample_L_17,VEG-01B,Flight,5,33,lettuce
Sample_L_18,VEG-01B,Flight,6,33,lettuce
Sample_L_19,VEG-01B,Ground,1,33,lettuce
Sample_L_20,VEG-01B,Ground,2,33,lettuce
Sample_L_21,VEG-01B,Ground,3,33,lettuce
Sample_L_22,VEG-01B,Ground,4,33,lettuce
Sample_L_23,VEG-01B,Ground,5,33,lettuce
Sample_L_24,VEG-01B,Ground,6,33,lettuce
Sample_L_25,VEG-03A,Flight,1,33,lettuce
Sample_L_26,VEG-03A,Flight,2,33,lettuce
Sample_L_27,VEG-03A,Flight,3,33,lettuce
Sample_L_28,VEG-03A,Flight,4,33,lettuce
Sample_L_29,VEG-03A,Flight,5,33,lettuce
Sample_L_30,VEG-03A,Flight,6,33,lettuce
Sample_L_31,VEG-03A,Ground,1,33,lettuce
Sample_L_32,VEG-03A,Ground,2,33,lettuce
Sample_L_33,VEG-03A,Ground,3,33,lettuce
Sample_L_34,VEG-03A,Ground,4,33,lettuce
Sample_L_35,VEG-03A,Ground,5,33,lettuce
Sample_L_36,VEG-03A,Ground,6,33,lettuce
Sample_M_1,VEG-04A,Flight,1,28,mizuna
Sample_M_2,VEG-04A,Flight,2,28,mizuna
Sample_M_3,VEG-04A,Flight,3,28,mizuna
Sample_M_4,VEG-04A,Flight,4,28,mizuna
Sample_M_5,VEG-04A,Flight,5,28,mizuna
Sample_M_6,VEG-04A,Flight,6,28,mizuna
Sample_M_7,VEG-04A,Ground,1,28,mizuna
Sample_M_8,VEG-04A,Ground,2,28,mizuna
Sample_M_9,VEG-04A,Ground,3,28,mizuna
Sample_M_10,VEG-04A,Ground,4,28,mizuna
Sample_M_11,VEG-04A,Ground,5,28,mizuna
Sample_M_12,VEG-04A,Ground,6,28,mizuna
Sample_M_13,VEG-04B,Flight,1,28,mizuna
Sample_M_14,VEG-04B,Flight,2,28,mizuna
Sample_M_15,VEG-04B,Flight,3,28,mizuna
Sample_M_16,VEG-04B,Flight,4,28,mizuna
Sample_M_17,VEG-04B,Flight,5,28,mizuna
Sample_M_18,VEG-04B,Flight,6,28,mizuna
Sample_M_19,VEG-04B,Ground,1,28,mizuna
Sample_M_20,VEG-04B,Ground,2,28,mizuna
Sample_M_21,VEG-04B,Ground,3,28,mizuna
Sample_M_22,VEG-04B,Ground,4,28,mizuna
Sample_M_23,VEG-04B,Ground,5,28,mizuna
Sample_M_24,VEG-04B,Ground,6,28,mizuna
