sample_id,mission,condition,plant_number,harvest_day
Sample_1,VEG-01A,Flight,1,33
Sample_2,VEG-01A,Flight,2,33
Sample_3,VEG-01A,Flight,3,33
Sample_4,VEG-01A,Flight,4,33
Sample_5,VEG-01A,Flight,5,33
Sample_6,VEG-01A,Flight,6,33
Sample_7,VEG-01A,Ground,1,33
Sample_8,VEG-01A,Ground,2,33
Sample_9,VEG-01A,Ground,3,33
Sample_10,VEG-01A,Ground,4,33
Sample_11,VEG-01A,Ground,5,33
Sample_12,VEG-01A,Ground,6,33
Sample_13,VEG-01B,Flight,1,33
Sample_14,VEG-01B,Flight,2,33
Sample_15,VEG-01B,Flight,3,33
Sample_16,VEG-01B,Flight,4,33
Sample_17,VEG-01B,Flight,5,33
Sample_18,VEG-01B,Flight,6,33
Sample_19,VEG-01B,Ground,1,33
Sample_20,VEG-01B,Ground,2,33
Sample_21,VEG-01B,Ground,3,33
Sample_22,VEG-01B,Ground,4,33
Sample_23,VEG-01B,Ground,5,33
Sample_24,VEG-01B,Ground,6,33
Sample_25,VEG-03A,Flight,1,33
Sample_26,VEG-03A,Flight,2,33
Sample_27,VEG-03A,Flight,3,33
Sample_28,VEG-03A,Flight,4,33
Sample_29,VEG-03A,Flight,5,33
Sample_30,VEG-03A,Flight,6,33
Sample_31,VEG-03A,Ground,1,33
Sample_32,VEG-03A,Ground,2,33
Sample_33,VEG-03A,Ground,3,33
Sample_34,VEG-03A,Ground,4,33
Sample_35,VEG-03A,Ground,5,33
Sample_36,VEG-03A,Ground,6,33
