sample_id,mission,condition,plant_number,harvest_day,Fe,K,Na,P,S,Zn,Ca,Mg,Mn,Cu,phenolics,anthocyanins,orac
Sample_1,VEG-01A,Flight,1,33,0.1982269074784955,31.986979923395555,2.014315404498386,5.445812309764336,2.647154822295224,0.0562733852767248,9.661389863272296,5.221042183543934,0.0969762256684559,0.0073459227415193,10.00889509812006,1.3811546135428086,489.21325426356566
Sample_2,VEG-01A,Flight,2,33,0.1851500877597647,25.90759100121149,3.9427126883366137,6.4622891815571455,3.6384302680514424,0.0966330396903367,12.21606267808096,5.427610752529615,0.1168557076957721,0.0082373696196583,9.227600224448016,1.2468701734422347,438.74337198765306
Sample_3,VEG-01A,Flight,3,33,0.1589823405179756,32.46449995712192,3.592841305619379,4.773460751665072,3.713120792059438,0.0800173128133536,12.877250754478856,4.329406771899037,0.1108163788243242,0.0073900482746031,10.463331169803215,0.7201087270524222,415.86059956193776
Sample_4,VEG-01A,Flight,4,33,0.1894491194046974,24.226139421883552,2.8674556597550183,5.148616549739491,4.099276958195983,0.0949600626805389,12.301161674586156,4.272309121552963,0.1151824268510453,0.0099636455288212,7.741955067045094,0.8155904240372152,319.7363206260032
Sample_5,VEG-01A,Flight,5,33,0.2217192380276918,27.717849704272723,3.340384578085114,4.68562768497243,3.488954085204693,0.0811896873505417,12.020740275945055,3.9751774959812103,0.0838540833359385,0.0059304295538969,12.297605541207536,1.1900524320705854,489.02262925430176
Sample_6,VEG-01A,Flight,6,33,0.2173010103329993,34.56212701014168,4.156147650069704,4.648402136579129,3.746589870881474,0.0867044969786667,10.051471679704605,4.237692402723196,0.0992443252164075,0.0097623070794437,7.637617935434209,1.342928811846914,410.7902185749522
Sample_7,VEG-01A,Ground,1,33,0.1392055324214142,39.94635962424676,2.4270843441782586,6.961162931522578,3.613901842412916,0.0499331263139243,10.251492846595276,4.81176068309387,0.10366397908907,0.0101454625336219,8.307899981878341,1.3113041929530598,453.8566487272021
Sample_8,VEG-01A,Ground,2,33,0.1458181174130471,42.06358085415072,2.1024971285434866,6.937318056674054,3.2644945304033253,0.0540381276928121,13.17610412923568,3.7292332022557897,0.0889167744889194,0.0090875127947615,7.995379834372205,1.4906620470158498,394.23451505732135
Sample_9,VEG-01A,Ground,3,33,0.1912071042505554,49.28934667417481,1.6392132919434723,5.71779740851579,3.1325394911839983,0.0558861281976131,12.398735465585244,3.842378775760851,0.0881315738606223,0.0080606979062859,9.133923694648551,1.229178012780792,302.4886884611647
Sample_10,VEG-01A,Ground,4,33,0.164040588665341,39.97163284499858,0.6204408355408,4.3257872500929455,3.1308688389030848,0.0595659188977878,15.501008115231468,3.554524786948871,0.105892432078302,0.0068624400523342,10.653396262031576,1.4710119826662944,382.8247168096089
Sample_11,VEG-01A,Ground,5,33,0.1408464962687903,46.25900304399284,1.5023669165729197,6.532608389054441,2.5270841335967154,0.0509225131250448,11.43840816247144,5.130414342933362,0.0661217709886666,0.0083687341477349,8.936378344144716,0.8757569230848552,373.8624398302121
Sample_12,VEG-01A,Ground,6,33,0.1574255655110698,37.66269897022307,1.7285942928371945,6.619437193604756,2.0944819348142447,0.0500736789801013,10.11652165554344,3.5869573441804414,0.1182214106506372,0.0093917939600946,8.843914984036033,0.9203973164214344,434.95424724377347
Sample_13,VEG-01B,Flight,1,33,0.2254672412974577,27.896412603349894,3.5193802958390705,5.751176076430867,3.150556018793002,0.0547225679963949,15.170281382622417,3.1029871710974724,0.113200348458197,0.0111299147716019,6.081100676923794,1.093495265590168,494.6858253463943
Sample_14,VEG-01B,Flight,2,33,0.2215193537116992,30.71782721536591,2.6036080151399505,4.955689650038801,4.571330168412879,0.0884157264725829,11.659849145681427,2.749574938026388,0.1054709688266405,0.0104914706791419,8.086221427110575,1.1417878744645975,353.7694464215188
